"","X","team.1","team.2","season","connection_strength","trade","year_one_lag","team.1_trade_volume","team.2_trade_volume","distance","distance_last_year","team.1_trade_volume_last_year","team.2_trade_volume_last_year"
"2",3,"Anaheim Ducks","Arizona Coyotes","2007-2008",0,0,2,14,13,2,1,14,20
"3",4,"Anaheim Ducks","Arizona Coyotes","2008-2009",2,1,0,14,6,2,2,14,13
"4",5,"Anaheim Ducks","Arizona Coyotes","2009-2010",1,1,0,17,15,1,2,14,6
"5",6,"Anaheim Ducks","Arizona Coyotes","2010-2011",0,0,2,16,14,1,1,17,15
"6",7,"Anaheim Ducks","Arizona Coyotes","2011-2012",0,0,1,19,7,2,1,16,14
"7",8,"Anaheim Ducks","Arizona Coyotes","2012-2013",1,1,0,11,9,3,2,19,7
"8",9,"Anaheim Ducks","Arizona Coyotes","2013-2014",0,0,0,7,7,1,3,11,9
"9",10,"Anaheim Ducks","Arizona Coyotes","2014-2015",0,0,1,9,2,2,1,7,7
"10",11,"Anaheim Ducks","Arizona Coyotes","2015-2016",0,0,0,12,7,2,2,9,2
"11",12,"Anaheim Ducks","Arizona Coyotes","2016-2017",0,0,0,11,10,2,2,12,7
"13",15,"Anaheim Ducks","Atlanta Thrashers","2007-2008",0,0,2,14,10,1,1,14,7
"14",16,"Anaheim Ducks","Atlanta Thrashers","2008-2009",2,1,1,14,5,2,1,14,10
"15",17,"Anaheim Ducks","Atlanta Thrashers","2009-2010",2,1,0,17,6,1,2,14,5
"16",18,"Anaheim Ducks","Atlanta Thrashers","2010-2011",0,0,2,16,9,1,1,17,6
"17",19,"Anaheim Ducks","Atlanta Thrashers","2011-2012",0,0,2,19,13,2,1,16,9
"18",20,"Anaheim Ducks","Atlanta Thrashers","2012-2013",0,0,0,11,0,15,2,19,13
"19",21,"Anaheim Ducks","Atlanta Thrashers","2013-2014",0,0,0,7,0,15,15,11,0
"20",22,"Anaheim Ducks","Atlanta Thrashers","2014-2015",0,0,0,9,0,15,15,7,0
"21",23,"Anaheim Ducks","Atlanta Thrashers","2015-2016",0,0,0,12,0,15,15,9,0
"22",24,"Anaheim Ducks","Atlanta Thrashers","2016-2017",0,0,0,11,0,15,15,12,0
"24",27,"Anaheim Ducks","Boston Bruins","2007-2008",2,1,0,14,13,1,2,14,7
"25",28,"Anaheim Ducks","Boston Bruins","2008-2009",1,1,1,14,10,1,1,14,13
"26",29,"Anaheim Ducks","Boston Bruins","2009-2010",1,1,2,17,7,1,1,14,10
"27",30,"Anaheim Ducks","Boston Bruins","2010-2011",1,1,1,16,8,1,1,17,7
"28",31,"Anaheim Ducks","Boston Bruins","2011-2012",0,0,1,19,12,1,1,16,8
"29",32,"Anaheim Ducks","Boston Bruins","2012-2013",0,0,1,11,4,3,1,19,12
"30",33,"Anaheim Ducks","Boston Bruins","2013-2014",0,0,0,7,6,2,3,11,4
"31",34,"Anaheim Ducks","Boston Bruins","2014-2015",0,0,0,9,3,2,2,7,6
"32",35,"Anaheim Ducks","Boston Bruins","2015-2016",0,0,0,12,4,2,2,9,3
"33",36,"Anaheim Ducks","Boston Bruins","2016-2017",0,0,0,11,7,2,2,12,4
"35",39,"Anaheim Ducks","Buffalo Sabres","2007-2008",0,0,0,14,6,2,2,14,5
"36",40,"Anaheim Ducks","Buffalo Sabres","2008-2009",0,0,0,14,2,3,2,14,6
"37",41,"Anaheim Ducks","Buffalo Sabres","2009-2010",0,0,0,17,7,2,3,14,2
"38",42,"Anaheim Ducks","Buffalo Sabres","2010-2011",0,0,0,16,3,2,2,17,7
"39",43,"Anaheim Ducks","Buffalo Sabres","2011-2012",0,0,0,19,1,2,2,16,3
