"Team1","Team2","Team1 Aquisition","Team2 Aquisition","Date","GM","Month","Year","Season"
"Anaheim Ducks","Chicago Blackhawks","Sam Carrick,Spencer Abbott","Kenton Helgesen,2019 7th round pick","March 1, 2017","Bob_Murray","March ","2017","2016-2017"
"Anaheim Ducks","Dallas Stars","Patrick Eaves","2017 conditional 2nd round pick","February 24, 2017","Bob_Murray","February ","2017","2016-2017"
"Nashville Predators","Anaheim Ducks","Andrew O`Brien","Max Gortz","January 19, 2017","Bob_Murray","January ","2017","2016-2017"
"Anaheim Ducks","Toronto Maple Leafs","Jhonas Enroth","2018 7th round pick","January 11, 2017","Bob_Murray","January ","2017","2016-2017"
"Anaheim Ducks","Florida Panthers","Logan Shaw","Michael Sgarbossa","November 16, 2016","Bob_Murray","November ","2016","2016-2017"
"Anaheim Ducks","Toronto Maple Leafs","Jonathan Bernier","2017 conditional pick","July 8, 2016","Bob_Murray","July ","2016","2016-2017"
"Toronto Maple Leafs","Anaheim Ducks","Frederik Andersen","2016 1st round pick,2017 2nd round pick","June 20, 2016","Bob_Murray","June ","2016","2016-2017"
"Anaheim Ducks","Florida Panthers","Brandon Pirri","2016 6th round pick","February 29, 2016","Bob_Murray","February ","2016","2015-2016"
"Anaheim Ducks","Buffalo Sabres","Jamie McGinn","2016 conditional 3rd round pick","February 29, 2016","Bob_Murray","February ","2016","2015-2016"
"Chicago Blackhawks","Anaheim Ducks","Tim Jackman,2017 7th round pick","Corey Tropp","February 29, 2016","Bob_Murray","February ","2016","2015-2016"
"Edmonton Oilers","Anaheim Ducks","Patrick Maroon","Martin Gernat,2016 4th round pick","February 29, 2016","Bob_Murray","February ","2016","2015-2016"
"Anaheim Ducks","Chicago Blackhawks","Ryan Garbutt","Jiri Sekac","January 21, 2016","Bob_Murray","January ","2016","2015-2016"
"Anaheim Ducks","Pittsburgh Penguins","David Perron,Adam,Clendening","Carl Hagelin","January 16, 2016","Bob_Murray","January ","2016","2015-2016"
"Montreal Canadiens","Anaheim Ducks","Max Friberg","Dustin Tokarski","January 7, 2016","Bob_Murray","January ","2016","2015-2016"
"Anaheim Ducks","Vancouver Canucks","Kevin Bieksa","2016 2nd round pick","June 30, 2015","Bob_Murray","June ","2015","2015-2016"
"Anaheim Ducks","New York Rangers","Carl Hagelin,2015 2nd round pick,2015 6th round pick","Emerson Etem,2015 2nd round pick","June 27, 2015","Bob_Murray","June ","2015","2015-2016"
"Anaheim Ducks","Carolina Hurricanes","Anton Khudobin","James Wisniewski","June 27, 2015","Bob_Murray","June ","2015","2015-2016"
"New Jersey Devils","Anaheim Ducks","Kyle Palmieri","2015 2nd round pick,2016 3rd round pick","June 26, 2015","Bob_Murray","June ","2015","2015-2016"
"Anaheim Ducks","Columbus Blue Jackets","James Wisniewski,2015 3rd round pick","Rene Bourque,William Karlsson,2015 2nd round pick","March 2, 2015","Bob_Murray","March ","2015","2014-2015"
"Anaheim Ducks","Pittsburgh Penguins","Simon Despres","Ben Lovejoy","March 2, 2015","Bob_Murray","March ","2015","2014-2015"
"Anaheim Ducks","Toronto Maple Leafs","Korbinian Holzer","Eric Brewer,2016 5th round pick","March 2, 2015","Bob_Murray","March ","2015","2014-2015"
"Anaheim Ducks","Colorado Avalanche","Michael Sgarbossa","Mat Clark","March 2, 2015","Bob_Murray","March ","2015","2014-2015"
"Anaheim Ducks","Florida Panthers","Tomas Fleischmann","Dany Heatley,2015 3rd round pick","February 28, 2015","Bob_Murray","February ","2015","2014-2015"
"Anaheim Ducks","Montreal Canadiens","Jiri Sekac","Devante Smith-Pelly","February 24, 2015","Bob_Murray","February ","2015","2014-2015"
