"","team.1","team.2","season","connection_strength","trade","year_one_lag","team.1_trade_volume","team.2_trade_volume","distance"
"2","Anaheim Ducks","Arizona Coyotes","2006-2007",0,0,2,14,13,2
"3","Anaheim Ducks","Arizona Coyotes","2007-2008",0,0,0,14,6,2
"4","Anaheim Ducks","Arizona Coyotes","2008-2009",2,1,0,17,15,1
"5","Anaheim Ducks","Arizona Coyotes","2009-2010",1,1,2,16,14,1
"6","Anaheim Ducks","Arizona Coyotes","2010-2011",0,0,1,19,7,2
"7","Anaheim Ducks","Arizona Coyotes","2011-2012",0,0,0,11,9,3
"8","Anaheim Ducks","Arizona Coyotes","2012-2013",1,1,0,7,7,1
"9","Anaheim Ducks","Arizona Coyotes","2013-2014",0,0,1,9,2,2
"10","Anaheim Ducks","Arizona Coyotes","2014-2015",0,0,0,12,7,2
"11","Anaheim Ducks","Arizona Coyotes","2015-2016",0,0,0,11,10,2
"12","Anaheim Ducks","Arizona Coyotes","2016-2017",0,0,0,7,12,2
"14","Anaheim Ducks","Atlanta Thrashers","2006-2007",1,1,2,14,10,1
"15","Anaheim Ducks","Atlanta Thrashers","2007-2008",0,0,1,14,5,2
"16","Anaheim Ducks","Atlanta Thrashers","2008-2009",2,1,0,17,6,1
"17","Anaheim Ducks","Atlanta Thrashers","2009-2010",2,1,2,16,9,1
"18","Anaheim Ducks","Atlanta Thrashers","2010-2011",0,0,2,19,13,2
"19","Anaheim Ducks","Atlanta Thrashers","2011-2012",0,0,0,11,0,10
"20","Anaheim Ducks","Atlanta Thrashers","2012-2013",0,0,0,7,0,10
"21","Anaheim Ducks","Atlanta Thrashers","2013-2014",0,0,0,9,0,10
"22","Anaheim Ducks","Atlanta Thrashers","2014-2015",0,0,0,12,0,10
"23","Anaheim Ducks","Atlanta Thrashers","2015-2016",0,0,0,11,0,10
"24","Anaheim Ducks","Atlanta Thrashers","2016-2017",0,0,0,7,0,10
"26","Anaheim Ducks","Boston Bruins","2006-2007",1,1,0,14,13,1
"27","Anaheim Ducks","Boston Bruins","2007-2008",2,1,1,14,10,1
"28","Anaheim Ducks","Boston Bruins","2008-2009",1,1,2,17,7,1
"29","Anaheim Ducks","Boston Bruins","2009-2010",1,1,1,16,8,1
"30","Anaheim Ducks","Boston Bruins","2010-2011",1,1,1,19,12,1
"31","Anaheim Ducks","Boston Bruins","2011-2012",0,0,1,11,4,3
"32","Anaheim Ducks","Boston Bruins","2012-2013",0,0,0,7,6,2
"33","Anaheim Ducks","Boston Bruins","2013-2014",0,0,0,9,3,2
"34","Anaheim Ducks","Boston Bruins","2014-2015",0,0,0,12,4,2
"35","Anaheim Ducks","Boston Bruins","2015-2016",0,0,0,11,7,2
"36","Anaheim Ducks","Boston Bruins","2016-2017",0,0,0,7,1,5
"38","Anaheim Ducks","Buffalo Sabres","2006-2007",0,0,0,14,6,2
"39","Anaheim Ducks","Buffalo Sabres","2007-2008",0,0,0,14,2,3
"40","Anaheim Ducks","Buffalo Sabres","2008-2009",0,0,0,17,7,2
"41","Anaheim Ducks","Buffalo Sabres","2009-2010",0,0,0,16,3,2
"42","Anaheim Ducks","Buffalo Sabres","2010-2011",0,0,0,19,1,2
"43","Anaheim Ducks","Buffalo Sabres","2011-2012",0,0,0,11,5,2
"44","Anaheim Ducks","Buffalo Sabres","2012-2013",0,0,0,7,6,2
