Rk,,Overall,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,=1,=3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Red Wings,48-21-13,30-7-4,18-14-9,9-6-3,39-15-10,3-2-0,2-3-1,4-1-2,15-7-2,12-4-4,12-4-4,18-6-13,20-11-0,5-5-0,9-4-2,9-3-3,6-3-5,8-2-1,10-3-2,1-1-0
2,Tampa Bay Lightning,46-22-14,24-10-7,22-12-7,38-19-7,8-3-7,16-4-0,9-7-4,13-8-3,3-1-3,4-0-2,1-2-2,18-8-14,18-9-0,6-0-1,5-4-4,4-9-2,11-3-2,9-1-3,10-4-2,1-1-0
3,San Jose Sharks,43-21-18,24-8-9,19-13-9,8-3-7,35-18-11,3-0-3,1-2-2,4-1-2,11-4-5,9-8-3,15-6-3,19-7-18,14-9-0,1-5-4,7-1-6,7-3-4,9-4-2,8-3-1,10-4-1,1-1-0
4,Boston Bruins,41-19-22,18-12-11,23-7-11,30-16-18,11-3-4,11-3-6,13-6-5,6-7-7,4-1-2,3-2-0,4-0-2,22-7-22,11-7-0,6-2-3,5-2-5,3-7-5,10-3-2,7-1-5,9-3-1,1-1-1
5,Toronto Maple Leafs,45-24-13,22-14-5,23-10-8,34-21-9,11-3-4,11-7-2,13-9-2,10-5-5,3-1-1,6-1-1,2-1-2,16-8-13,19-12-0,4-3-3,8-3-4,9-1-3,8-6-1,6-6-1,8-5-1,2-0-0
6,Ottawa Senators,43-23-16,23-8-10,20-15-6,33-18-13,10-5-3,9-7-4,9-10-5,15-1-4,4-0-1,3-3-2,3-2-0,9-11-16,27-6-0,5-2-1,4-6-4,9-2-3,10-4-2,7-2-4,7-6-2,1-1-0
7,Vancouver Canucks,43-24-15,21-13-7,22-11-8,9-5-4,34-19-11,2-1-2,4-3-1,3-1-1,13-5-2,10-7-7,11-7-2,19-13-15,17-6-0,7-2-2,7-4-3,7-3-3,9-5-1,5-5-2,6-5-4,2-0-0
8,Philadelphia Flyers,40-21-21,24-11-6,16-10-15,33-17-14,7-4-7,13-6-5,10-6-4,10-5-5,3-1-1,2-1-2,2-2-4,12-6-21,16-9-0,4-2-4,10-0-2,5-4-7,7-5-3,7-5-2,6-4-2,1-1-1
9,New Jersey Devils,43-25-14,22-13-6,21-12-8,34-20-10,9-5-4,14-7-3,9-6-5,11-7-2,3-2-1,3-1-2,3-2-1,18-10-14,18-7-0,4-3-2,8-1-4,7-3-3,8-6-2,6-6-1,9-5-2,1-1-0
10,Colorado Avalanche,40-22-20,19-14-8,21-8-12,8-7-3,32-15-17,4-1-2,0-5-0,4-1-1,9-4-7,12-7-5,11-4-5,15-8-20,14-7-0,5-4-0,9-3-3,4-3-5,11-1-4,4-4-4,6-7-3,1-0-1
