"Team1","Team2","Team1.Aquisition","Team2.Aquisition","Date","Month","Year","Season"
"Chicago Blackhawks","Colorado Avalanche","2006 4th round pick (#111-Korbinian Holzer)","Jim Dowd","March 9, 2006","March ","2006","2005-2006"
"Montreal Canadiens","Chicago Blackhawks","Todd Simpson","2006 6th round pick (#169-Chris Auger)","March 9, 2006","March ","2006","2005-2006"
"Vancouver Canucks","St. Louis Blues","Eric Weinrich","Tomas Mojzis,2006 3rd round pick (#77-Vladimir Zharkov)","March 9, 2006","March ","2006","2005-2006"
"New Jersey Devils","Vancouver Canucks","2006 4th round pick (#107-T.J. Miller)","Sean Brown","March 9, 2006","March ","2006","2005-2006"
"New Jersey Devils","Calgary Flames","Jason Wiemer","2006 4th round pick (#118-Hugo Carpentier)","March 9, 2006","March ","2006","2005-2006"
"Arizona Coyotes","Calgary Flames","2006 4th round pick (#119-Doug Rogers)","Jamie Lundmark","March 9, 2006","March ","2006","2005-2006"
"Arizona Coyotes","Philadelphia Flyers","Josh Gratton,2006 2nd round pick (#41-Cory Emmerton),2006 2nd round pick (#47-Shawn Matthias)","Denis Gauthier","March 9, 2006","March ","2006","2005-2006"
"New Jersey Devils","New York Islanders","Brad Lukowich","2006 3rd round pick (#88-Jonas Ahnelov)","March 9, 2006","March ","2006","2005-2006"
"Arizona Coyotes","New York Islanders","Oleg Kvasha,conditional 5th round pick (if Coyotes do not re-sign Oleg Kvasha) (2006 #130-Brett Bennett)","2006 3rd round pick (#71-Brad Marchand)","March 9, 2006","March ","2006","2005-2006"
"Arizona Coyotes","Los Angeles Kings","Yanick Lehoux","Tim Jackman","March 9, 2006","March ","2006","2005-2006"
"Arizona Coyotes","Anaheim Ducks","Joel Perrault","Sean O`Donnell","March 9, 2006","March ","2006","2005-2006"
"Anaheim Ducks","Washington Capitals","Jeff Friesen","2006 2nd round pick (#52-Keith Seabrook)","March 9, 2006","March ","2006","2005-2006"
"Anaheim Ducks","Vancouver Canucks","Brett Skinner,2006 2nd round pick (#38-Bryce Swan)","Juha Alen,Keith Carney","March 9, 2006","March ","2006","2005-2006"
"Boston Bruins","Edmonton Oilers","Marty Reasoner,Yan Stastny,2006 2nd round pick (#50-Milan Lucic)","Sergei Samsonov","March 9, 2006","March ","2006","2005-2006"
"Florida Panthers","Pittsburgh Penguins","Richard Jackman","Petr Taticek","March 9, 2006","March ","2006","2005-2006"
"Carolina Hurricanes","Pittsburgh Penguins","Mark Recchi","Krystofer Kolanos,Niklas Nordgren,2007 2nd round pick (#41-Kevin Marshall)","March 9, 2006","March ","2006","2005-2006"
"Nashville Predators","Washington Capitals","Brendan Witt","Kris Beech,2006 1st round pick (#23-Semyon Varlamov)","March 9, 2006","March ","2006","2005-2006"
"Anaheim Ducks","New York Rangers","2006 3rd round pick (#83-John de Gray)","Sandis Ozolinsh","March 9, 2006","March ","2006","2005-2006"
"Detroit Red Wings","Pittsburgh Penguins","Cory Cross","2007 4th round pick (#118-Alex Grant)","March 9, 2006","March ","2006","2005-2006"
"Arizona Coyotes","Detroit Red Wings","Jamie Rivers","2006 7th round pick (#191-Nick Oslund)","March 9, 2006","March ","2006","2005-2006"
"Buffalo Sabres","Vancouver Canucks","2006 2nd round pick (#46-Jhonas Enroth)","Mika Noronen","March 9, 2006","March ","2006","2005-2006"
"Chicago Blackhawks","Ottawa Senators","Brandon Bochenski,2006 2nd round pick (#61-Simon Danis-Pepin)","Tyler Arnason","March 9, 2006","March ","2006","2005-2006"
"San Jose Sharks","Philadelphia Flyers","2006 3rd round pick (#85-Tommy Sestito)","Niko Dimitrakos","March 9, 2006","March ","2006","2005-2006"
"Vancouver Canucks","Atlanta Thrashers","2007 conditional 4th round pick (3rd round if McCarthy re-signed with Thrashers) (#115-Niklas Lucenius)","Steve McCarthy","March 9, 2006","March ","2006","2005-2006"
"Montreal Canadiens","Colorado Avalanche","David Aebischer","Jose Theodore","March 8, 2006","March ","2006","2005-2006"
"Los Angeles Kings","New York Islanders","Mark Parrish,Brent Sopel","Denis Grebeshkov,Jeff Tambellini,2006 conditional 3rd round pick (if Kings make playoffs) (not exercised)","March 8, 2006","March ","2006","2005-2006"
"New Jersey Devils","Toronto Maple Leafs","Ken Klee","Aleksander Suglobov","March 8, 2006","March ","2006","2005-2006"
"Toronto Maple Leafs","Columbus Blue Jackets","Luke Richardson","2006 5th round pick or 2007 4th round pick (2006 #136-Nick Sucharski)","March 8, 2006","March ","2006","2005-2006"
"San Jose Sharks","New York Rangers","Ville Nieminen","2006 3rd round pick (#83-John de Gray)","March 8, 2006","March ","2006","2005-2006"
"Dallas Stars","Minnesota Wild","Willie Mitchell,2007 2nd round pick (#50-Nico Sacchetti)","Shawn Belle,Martin Skoula","March 8, 2006","March ","2006","2005-2006"
"Minnesota Wild","Edmonton Oilers","2006 1st round pick (#17-Trevor Lewis),2007 conditional 3rd round pick (#67-Spencer Machacek)","Dwayne Roloson","March 8, 2006","March ","2006","2005-2006"
"Anaheim Ducks","Atlanta Thrashers","Jani Hurme","Joel Stepp","March 1, 2006","March ","2006","2005-2006"
"Calgary Flames","Columbus Blue Jackets","Cale Hulse","Cam Severson","February 28, 2006","February ","2006","2005-2006"
"Boston Bruins","Tampa Bay Lightning","Brian Eklund","Zdenek Blatny","February 8, 2006","February ","2006","2005-2006"
"Arizona Coyotes","Washington Capitals","Dwayne Zinger","Doug Doull","February 3, 2006","February ","2006","2005-2006"
"Arizona Coyotes","Calgary Flames","Steven Reinprecht,Philippe Sauve","Brian Boucher,Mike Leclerc","February 1, 2006","February ","2006","2005-2006"
"St. Louis Blues","Carolina Hurricanes","Jesse Boulerice,Mike Zigomanis,2006 1st round pick (#30-Matthew Corrente),2006 4th round pick (#106-Reto Berra),2007 4th round pick (#96-Cade Fairchild),rights to Magnus Kahnberg","Doug Weight,rights to Erkki Rajamaki","January 30, 2006","January ","2006","2005-2006"
"St. Louis Blues","Nashville Predators","Timofei Shishkanov","Mike Sillinger","January 29, 2006","January ","2006","2005-2006"
"Edmonton Oilers","Chicago Blackhawks","Jaroslav Spacek","rights to Tony Salmelainen","January 26, 2006","January ","2006","2005-2006"
"Edmonton Oilers","Pittsburgh Penguins","Dick Tarnstrom","Cory Cross,Jani Rita","January 26, 2006","January ","2006","2005-2006"
"Arizona Coyotes","New York Rangers","Jeff Taffe","Martin Sonnenberg","January 24, 2006","January ","2006","2005-2006"
"Florida Panthers","Philadelphia Flyers","Jon Sim","2007 6th round pick (#161-Pat Maroon)","January 23, 2006","January ","2006","2005-2006"
"Arizona Coyotes","Philadelphia Flyers","Dennis Seidenberg,Flyers option to swap 2006 4th round pick (#115-Tomas Marcinko),Flyers option to swap 2007 3rd round pick (not exercised)","Petr Nedved,Flyers option to swap 2006 4th round pick (#101-Joonas Lehtivuori),Flyers option to swap 2007 3rd round pick (not exercised)","January 20, 2006","January ","2006","2005-2006"
"Chicago Blackhawks","Carolina Hurricanes","Danny Richmond,2006 4th round pick (#99-James Reimer)","Anton Babchuk,2007 4th round pick (#96-Cade Fairchild)","January 20, 2006","January ","2006","2005-2006"
"Florida Panthers","Pittsburgh Penguins","2006 6th round pick (#155-Peter Aston)","Eric Cairns","January 18, 2006","January ","2006","2005-2006"
"Dallas Stars","New York Islanders","Janne Niinimaa,2007 5th round pick (#136-Ondrej Roman)","John Erskine,2006 2nd round pick (#60-Jesse Joensuu)","January 10, 2006","January ","2006","2005-2006"
"Anaheim Ducks","New York Rangers","Maxim Kondratiev","Petr (b.1976) Sykora,2007 4th round pick (#108-Brett Bruneteau)","January 8, 2006","January ","2006","2005-2006"
"Chicago Blackhawks","Carolina Hurricanes","Radim Vrbata","2006 4th round pick (#99-James Reimer)),future considerations (2007 4th round pick (#96-Cade Fairchild) received as part of future trade for Danny Richmond)","December 30, 2005","December ","2005","2005-2006"
"Arizona Coyotes","Philadelphia Flyers","Eric Chouinard","Kiel McLeod","December 28, 2005","December ","2005","2005-2006"
"Arizona Coyotes","Carolina Hurricanes","Pavel Brendl","Krystofer Kolanos","December 28, 2005","December ","2005","2005-2006"
"Washington Capitals","Carolina Hurricanes","Colin Forbes","Stephen Peat","December 28, 2005","December ","2005","2005-2006"
"Edmonton Oilers","St. Louis Blues","Blake Evans","future considerations","December 13, 2005","December ","2005","2005-2006"
"Dallas Stars","Florida Panthers","Niklas Hagman","2007 7th round pick (#202-Sergei Gayduchenko)","December 12, 2005","December ","2005","2005-2006"
